RES_ID,RESPONSE,LABEL,RESPONSE_CLN,count_word,count_word_cln,avg_word_length,avg_word_length_cln,is_berpindah,is_tantangan,is_komunikasi,is_ekonomi,is_sosial,is_adaptasi,is_pindah,is_suasana,is_baru,is_sulit,RESPOND_USED
TRA1,intetraksi/beradaptasi terhadap lingkungan yang baru.,1,intetraksi beradaptasi lingkungan,5,3,9.8,10.333333333333334,0,0,0,0,0,1,0,0,0,0,intetraksi beradaptasi lingkungan 0 0 0 0 0 0 0 0 0 0
TRA2,seperti jatuhnya meteor tsunami gempa bumi,0,jatuhnya meteor tsunami gempa bumi,6,5,6.166666666666667,6.0,0,0,0,0,0,0,0,0,0,0,jatuhnya meteor tsunami gempa bumi 0 0 0 0 0 0 0 0
TRA3,hanya tuhan yang tahu tantangan nya itu apaan,0,tuhan tantangan,8,2,4.75,7.0,0,1,0,0,0,0,0,0,0,0,tuhan tantangan 0 0 0 0 0 0 0 0 0 0 0
TRA4,mereka akan sulit beradaptasi,1,sulit beradaptasi,4,2,6.5,8.0,0,0,0,0,0,1,0,0,0,1,sulit beradaptasi 0 0 0 0 0 0 0 0 0 0 0
TRA5,"Tempat tinggal, ekonomi, dan pekerjaan",1,tinggal ekonomi pekerjaan,5,3,6.8,7.666666666666667,0,0,0,1,0,0,0,0,0,0,tinggal ekonomi pekerjaan 0 0 0 0 0 0 0 0 0 0
TRA6,akan terganggu dengan kesehatanya karena merekanperlu beradaptasi dengan lingkungan yang baru.,1,terganggu kesehatanya merekanperlu beradaptasi lingkungan,11,5,7.636363636363637,10.6,0,0,0,0,0,1,0,0,0,0,terganggu kesehatanya merekanperlu beradaptasi lingkungan 0 0 0 0 0 0 0 0
TRA7,Mereka tidak akan di hormati oleh orang layaknya mereka di hormati di dalam tempat tinggal mereka yang lama,0,hormati orang layaknya hormati tinggal,18,5,5.0,6.8,0,0,0,0,0,0,0,0,0,0,hormati orang layaknya hormati tinggal 0 0 0 0 0 0 0 0
TRA8,mereka akan kehilangan lahan pertanian.,1,kehilangan lahan pertanian,5,3,7.0,8.0,0,0,0,0,0,0,0,0,0,0,kehilangan lahan pertanian 0 0 0 0 0 0 0 0 0 0
TRA9,"Pada kasus-kasus seperti salah satunya yang terjadi di Travina, warga mungkin dipaksa untuk menjadi ""pengungsi iklimâ€. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.",0,salah satunya travina warga dipaksa pengungsi iklim pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan,29,17,7.0344827586206895,7.294117647058823,0,0,0,0,0,0,0,0,0,0,salah satunya travina warga dipaksa pengungsi iklim pengungsi iklim orang orang terpaksa meninggalkan
TRA10,mendapat musibah dan melawannya,0,musibah melawannya,4,2,7.0,8.5,0,0,0,0,0,0,0,0,0,0,musibah melawannya 0 0 0 0 0 0 0 0 0 0 0
TRA11,karena mereka butuh tempat tinggal baru,1,butuh tinggal,6,2,5.666666666666667,6.0,0,0,0,0,0,0,0,0,0,0,butuh tinggal 0 0 0 0 0 0 0 0 0 0 0
TRA12,Akan kehilangan tempat tinggal yang lama atau komunitas karena bencana alam.,0,kehilangan tinggal komunitas bencana alam,11,5,6.0,7.4,0,0,0,0,0,0,0,0,0,0,kehilangan tinggal komunitas bencana alam 0 0 0 0 0 0 0 0
TRA13,mereka akan pindah ke tempat yang dulu,0,pindah,7,1,4.571428571428571,6.0,0,0,0,0,0,0,1,0,0,0,pindah 0 0 0 0 0 0 0 0 0 0 0 0
TRA14,beradaptasi,1,beradaptasi,1,1,11.0,11.0,0,0,0,0,0,1,0,0,0,0,beradaptasi 0 0 0 0 0 0 0 0 0 0 0 0
TRA15,Pengungsi iklim ini orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0,pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan,13,10,7.538461538461538,7.9,0,0,0,0,0,0,0,0,0,0,pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan 0 0 0
TRA16,karna mereka tidak mau terkena iklim yang sangat beser,0,karna terkena iklim beser,9,4,5.111111111111111,5.5,0,0,0,0,0,0,0,0,0,0,karna terkena iklim beser 0 0 0 0 0 0 0 0 0
TRA17,keadaan yg tidak memadai serta kurangnya fasilitas di tempat pengungsian kegiatan jadi tidak dapat dilakukan seperti biasanya maknanya mereka tidak bebas melakukan sesuatu,1,memadai kurangnya fasilitas pengungsian kegiatan maknanya bebas,23,7,6.478260869565218,8.142857142857142,0,0,0,0,0,0,0,0,0,0,memadai kurangnya fasilitas pengungsian kegiatan maknanya bebas 0 0 0 0 0 0
TRA18,Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0,pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan,13,10,7.769230769230769,7.9,0,0,0,0,0,0,0,0,0,0,pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan 0 0 0
TRA19,fkjgrioejtklejtdfljlkgr,0,fkjgrioejtklejtdfljlkgr,1,1,23.0,23.0,0,0,0,0,0,0,0,0,0,0,fkjgrioejtklejtdfljlkgr 0 0 0 0 0 0 0 0 0 0 0 0
TRA20,merasa aneh,0,aneh,2,1,5.0,4.0,0,0,0,0,0,0,0,0,0,0,aneh 0 0 0 0 0 0 0 0 0 0 0 0
TRA21,satu tantangan yang akan dihadapi pengungsi adalah kehilangan pekerjaan mereka yaitu pekerjaan bertani atau nelayan dan itulah salah satu pencaharian mereka selama menetap di Travina.,1,tantangan dihadapi pengungsi kehilangan pekerjaan pekerjaan bertani nelayan salah pencaharian menetap travina,25,12,6.36,8.166666666666666,0,1,0,0,0,0,0,0,0,0,tantangan dihadapi pengungsi kehilangan pekerjaan pekerjaan bertani nelayan salah pencaharian menetap travina 0
TRA22,akan terjadinya perubahan tempat,0,perubahan,4,1,7.25,9.0,0,0,0,0,0,0,0,0,0,0,perubahan 0 0 0 0 0 0 0 0 0 0 0 0
TRA23,"karena,akan ada bencana alam yang akan datang",0,bencana alam,7,2,5.571428571428571,5.5,0,0,0,0,0,0,0,0,0,0,bencana alam 0 0 0 0 0 0 0 0 0 0 0
TRA24,Mereka perlu adaptasi dan harus rela berpisah dengan tembat lamanya yang kemungkinan lahan tersebut akan hilang,1,adaptasi rela berpisah tembat lahan hilang,16,6,6.0,6.166666666666667,0,0,0,0,0,1,0,0,0,0,adaptasi rela berpisah tembat lahan hilang 0 0 0 0 0 0 0
TRA25,"tidak terjamin dengan semua kebutuhannya, dan sulit untuk beradaptasi dengan tempat baru",1,terjamin kebutuhannya sulit beradaptasi,12,4,6.416666666666667,9.0,0,0,0,0,0,1,0,0,0,1,terjamin kebutuhannya sulit beradaptasi 0 0 0 0 0 0 0 0 0
TRA26,orang-orang yang trpaksa meninggalkan komunitas atau negaranya karna bercanda lingkungan,0,orang orang trpaksa meninggalkan komunitas negaranya karna bercanda lingkungan,10,9,7.9,7.777777777777778,0,0,0,0,0,0,0,0,0,0,orang orang trpaksa meninggalkan komunitas negaranya karna bercanda lingkungan 0 0 0 0
TRA27,Mereka tidak akan mudah menyesuaikan hidup mereka di tempat baru,1,mudah menyesuaikan hidup,10,3,5.5,7.333333333333333,0,0,0,0,0,0,0,0,0,0,mudah menyesuaikan hidup 0 0 0 0 0 0 0 0 0 0
TRA28,mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka,1,kehilangan lahan pertanian,11,3,6.181818181818182,8.0,0,0,0,0,0,0,0,0,0,0,kehilangan lahan pertanian 0 0 0 0 0 0 0 0 0 0
TRA29,tidak mempunyai tempat yang tetap,1,,5,1,5.8,0.0,0,0,0,0,0,0,0,0,0,0, 0 0 0 0 0 0 0 0 0 0 0 0
TRA30,"masalah yang dapatdidapatkan oleh pengngungsi itu adalah penggunaan bahasa, dan pencarian lapangan kerja, tempat tinggal.",1,dapatdidapatkan pengngungsi penggunaan bahasa pencarian lapangan kerja tinggal,15,8,7.133333333333334,8.875,0,0,0,0,0,0,0,0,0,0,dapatdidapatkan pengngungsi penggunaan bahasa pencarian lapangan kerja tinggal 0 0 0 0 0
TRA31,mereka akan kehilangan lahan pertanian sektor pariwisata dan perikanan dan tempat tinggal mereka.,1,kehilangan lahan pertanian sektor pariwisata perikanan tinggal,13,7,6.538461538461538,8.0,0,0,0,0,0,0,0,0,0,0,kehilangan lahan pertanian sektor pariwisata perikanan tinggal 0 0 0 0 0 0
TRA32,penderitaan panas nya cuaca iklim,0,penderitaan panas cuaca iklim,5,4,5.8,6.5,0,0,0,0,0,0,0,0,0,0,penderitaan panas cuaca iklim 0 0 0 0 0 0 0 0 0
TRA33,Warga di Travina akan mengalami bencana yang besar dan disebabkan oleh perubahan iklim .,0,warga travina mengalami bencana disebabkan perubahan iklim,14,7,5.357142857142857,7.428571428571429,0,0,0,0,0,0,0,0,0,0,warga travina mengalami bencana disebabkan perubahan iklim 0 0 0 0 0 0
TRA34,"MEREKA AKAN MENINGGALKAN NEGARANYA, DAN MEREKA AKAN MENJADI PUENGUNGSI YANG MEMBUTUHKAN BANTUAN DARI NEGARA LAIN, MEREKA JUGA MEMBUTUHKAN NEGARA MANA YANG HARUS MENJADI PENGUNGSI",0,meninggalkan negaranya puengungsi membutuhkan bantuan negara membutuhkan negara pengungsi,24,9,6.458333333333333,9.0,0,0,0,0,0,0,0,0,0,0,meninggalkan negaranya puengungsi membutuhkan bantuan negara membutuhkan negara pengungsi 0 0 0 0
TRA35,tantanganya adalah mereka harus beradapatsi lagi dengan lingkungan barunya.,1,tantanganya beradapatsi lingkungan barunya,9,4,7.444444444444445,9.75,0,1,0,0,0,0,0,0,1,0,tantanganya beradapatsi lingkungan barunya 0 0 0 0 0 0 0 0 0
TRA36,akan terjadi lama proses adaptasi yang dilakukan oleh para pengunsi iklim tersebut.,1,proses adaptasi pengunsi iklim,12,4,6.0,6.75,0,0,0,0,0,1,0,0,0,0,proses adaptasi pengunsi iklim 0 0 0 0 0 0 0 0 0
TRA37,komunitas dan negara,0,komunitas negara,3,2,6.0,7.5,0,0,0,0,0,0,0,0,0,0,komunitas negara 0 0 0 0 0 0 0 0 0 0 0
TRA38,"Tantangan pengungsi iklim adalah lahan pekerjaan yang ia tempati dulu akan hilang, karena ia harus meninggalkan negaranya karena bencana lingkungan yang ada di negaranya.",1,tantangan pengungsi iklim lahan pekerjaan tempati hilang meninggalkan negaranya bencana lingkungan negaranya,24,12,6.125,8.083333333333334,0,1,0,0,0,0,0,0,0,0,tantangan pengungsi iklim lahan pekerjaan tempati hilang meninggalkan negaranya bencana lingkungan negaranya 0
TRA39,beradaptasi dengan lingkungan yang baru,1,beradaptasi lingkungan,5,2,7.0,10.5,0,0,0,0,0,1,0,0,0,0,beradaptasi lingkungan 0 0 0 0 0 0 0 0 0 0 0
TRA40,tantanganya adalah akan meninggalkan tempat tinggal dan perkebunan yang dimiliki,0,tantanganya meninggalkan tinggal perkebunan dimiliki,10,5,7.1,9.6,0,1,0,0,0,0,0,0,0,0,tantanganya meninggalkan tinggal perkebunan dimiliki 0 0 0 0 0 0 0 0
TRA41,sulit mencari lahan pertanian,0,sulit mencari lahan pertanian,4,4,6.5,6.5,0,0,0,0,0,0,0,0,0,1,sulit mencari lahan pertanian 0 0 0 0 0 0 0 0 0
TRA42,"Harus mencari tempat untuk bekerja, membangun rumah dan berkenalan dengan orang asing",1,mencari membangun rumah berkenalan orang asing,12,6,6.166666666666667,6.833333333333333,0,0,0,0,0,0,0,0,0,0,mencari membangun rumah berkenalan orang asing 0 0 0 0 0 0 0
TRA43,"penyesuaian lingkungan dan masalah imigrasi, seperti amerika yang menolak imigran/pendatang dari luar",1,penyesuaian lingkungan imigrasi amerika menolak imigran pendatang,12,7,7.5,8.428571428571429,0,0,0,0,0,0,0,0,0,0,penyesuaian lingkungan imigrasi amerika menolak imigran pendatang 0 0 0 0 0 0
TRA44,kehilangan segalanya,1,kehilangan,2,1,9.5,10.0,0,0,0,0,0,0,0,0,0,0,kehilangan 0 0 0 0 0 0 0 0 0 0 0 0
TRA45,sebagian dari mereka akan kehilangan lahan dan keluarganya.,1,kehilangan lahan keluarganya,8,3,6.5,8.666666666666666,0,0,0,0,0,0,0,0,0,0,kehilangan lahan keluarganya 0 0 0 0 0 0 0 0 0 0
TRA46,sulit beradaptasi dengan wilayah barunya,1,sulit beradaptasi wilayah barunya,5,4,7.2,7.5,0,0,0,0,0,1,0,0,1,1,sulit beradaptasi wilayah barunya 0 0 0 0 0 0 0 0 0
TRA47,ia susah untuk beradaptasi,1,susah beradaptasi,4,2,5.75,8.0,0,0,0,0,0,1,0,0,0,0,susah beradaptasi 0 0 0 0 0 0 0 0 0 0 0
TRA48,Mereka harus bisa beradaptasi dengan lingkungan barunya.,1,beradaptasi lingkungan barunya,7,3,7.142857142857143,9.333333333333334,0,0,0,0,0,1,0,0,1,0,beradaptasi lingkungan barunya 0 0 0 0 0 0 0 0 0 0
TRA49,kalau tidak pindah kita terkena bencana,0,pindah terkena bencana,6,3,5.666666666666667,6.666666666666667,0,0,0,0,0,0,1,0,0,0,pindah terkena bencana 0 0 0 0 0 0 0 0 0 0
TRA50,penguisi iklim adalah orang orang yang terpaksa meningalkan komunikasi atau negaranya karena karena beencna,1,penguisi iklim orang orang terpaksa meningalkan komunikasi negaranya beencna,14,9,6.714285714285714,7.555555555555555,0,0,1,0,0,0,0,0,0,0,penguisi iklim orang orang terpaksa meningalkan komunikasi negaranya beencna 0 0 0 0
TRA51,mereka harus beradaptasi dengan tempat tersebut dan harus merelakan rumah dan harta nya tengelam,1,beradaptasi merelakan rumah harta tengelam,14,5,5.928571428571429,7.6,0,0,0,0,0,1,0,0,0,0,beradaptasi merelakan rumah harta tengelam 0 0 0 0 0 0 0 0
TRA52,tantangan yang pasti akan dihadapi oleh orang-orang Travina menjadi pengungsi iklim adalah harusnya berbaur dengan baik sesuai dengan aturan dan tatanan yang ada ditempat baru yang akan ditinggali,1,tantangan dihadapi orang orang travina pengungsi iklim berbaur sesuai aturan tatanan ditempat ditinggali,28,13,6.035714285714286,7.076923076923077,0,1,0,0,0,0,0,0,0,0,tantangan dihadapi orang orang travina pengungsi iklim berbaur sesuai aturan tatanan ditempat ditinggali
TRA53,pengungsi iklim,0,pengungsi iklim,2,2,7.0,7.0,0,0,0,0,0,0,0,0,0,0,pengungsi iklim 0 0 0 0 0 0 0 0 0 0 0
TRA54,"Mereka akan beradaptasi dengan tempat mereka yang baru, dan mereka harus menerima keadaan tempat mereka yang baru serta menjalani cara hidup yang baru ditempat tersebut",1,beradaptasi menerima menjalani hidup ditempat,25,5,5.76,8.2,0,0,0,0,0,1,0,0,0,0,beradaptasi menerima menjalani hidup ditempat 0 0 0 0 0 0 0 0
TRA55,akan kehilangan komunitas dan negaranya,1,kehilangan komunitas negaranya,5,3,7.0,9.333333333333334,0,0,0,0,0,0,0,0,0,0,kehilangan komunitas negaranya 0 0 0 0 0 0 0 0 0 0
TRA56,kehidupan yang tidak sama dengan kehidupan yang biasa mereka jalani di negaranya,0,kehidupan kehidupan jalani negaranya,12,4,5.75,8.25,0,0,0,0,0,0,0,0,0,0,kehidupan kehidupan jalani negaranya 0 0 0 0 0 0 0 0 0
TRA57,mereka harus rela kehilangan tempat tinggal yang mereka miliki sebelumnya karena pengaruh bencana alam yang tidak dapat dilewati,1,rela kehilangan tinggal miliki pengaruh bencana alam dilewati,18,8,6.166666666666667,6.75,0,0,0,0,0,0,0,0,0,0,rela kehilangan tinggal miliki pengaruh bencana alam dilewati 0 0 0 0 0
TRA58,mereka harus mengusahakan tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka,1,mengusahakan pindah bertahan hidup menyesuaikan lingkungan,17,6,6.411764705882353,8.833333333333334,0,0,0,0,0,0,1,0,0,0,mengusahakan pindah bertahan hidup menyesuaikan lingkungan 0 0 0 0 0 0 0
TRA59,"Warga Travina tidak betah untuk tinggal di tempat lain bukan tempat asalnya ,tidur pun suka tidak nyenyak dan makanan pun tidak sebanyak di tempat tinggal dulu ,mandi pun harus rela mengantri dengan pengungsi iklim lainnya",1,warga travina betah tinggal asalnya tidur suka nyenyak makanan tinggal mandi rela mengantri pengungsi iklim,35,15,5.371428571428571,6.2,0,0,0,0,0,0,0,0,0,0,warga travina betah tinggal asalnya tidur suka nyenyak makanan tinggal mandi rela mengantri
TRA60,"mereka harus memulai lingkungan yang baru, beradaptasi dengan lingkungan mereka yang baru, dan membangun rumah atau pertanian di tempat baru tersebut",1,lingkungan beradaptasi lingkungan membangun rumah pertanian,21,6,6.142857142857143,9.0,0,0,0,0,0,1,0,0,0,0,lingkungan beradaptasi lingkungan membangun rumah pertanian 0 0 0 0 0 0 0
TRA61,Mereka akan susah beradaptasi pada lingkungan yang baru dan mereka akan susah mendapat keahlian yang dibutuhkan di tempat yang baru,1,susah beradaptasi lingkungan susah keahlian dibutuhkan,20,6,5.6,8.166666666666666,0,0,0,0,0,1,0,0,0,0,susah beradaptasi lingkungan susah keahlian dibutuhkan 0 0 0 0 0 0 0
TRA62,"mereka harus beradaptasi dengan tampat baru yang mereka akan tinggal,memulai hidup baru mereka juga akan sangat sulit mendapatkan pekerjaan",1,beradaptasi tampat tinggal hidup sulit pekerjaan,19,6,6.368421052631579,7.166666666666667,0,0,0,0,0,1,0,0,0,1,beradaptasi tampat tinggal hidup sulit pekerjaan 0 0 0 0 0 0 0
TRA63,"mereka akan kesusahan dalam mencari kerja,mencari usaha dan lain lain.",1,kesusahan mencari kerja mencari usaha,10,5,6.1,6.6,0,0,0,0,0,0,0,0,0,0,kesusahan mencari kerja mencari usaha 0 0 0 0 0 0 0 0
TRA64,masalah tempat tingal dan barang berharga,1,tingal barang berharga,6,3,6.0,6.666666666666667,0,0,0,0,0,0,0,0,0,0,tingal barang berharga 0 0 0 0 0 0 0 0 0 0
TRA65,ketidak nyamanan berpindah,1,ketidak nyamanan berpindah,3,3,8.0,8.0,1,0,0,0,0,0,1,0,0,0,ketidak nyamanan berpindah 0 0 0 0 0 0 0 0 0 0
TRA66,"mareka merasakan sesuatu yang tidak enak karna meningalkan nerara ,keluarga,DAN lain-lain",1,mareka merasakan enak karna meningalkan nerara keluarga,11,7,7.181818181818182,7.0,0,0,0,0,0,0,0,0,0,0,mareka merasakan enak karna meningalkan nerara keluarga 0 0 0 0 0 0
TRA67,mereka harus memulai hidup baru dan harus tinggal dengan keadaan yang berbeda dari sebelumnya.,1,hidup tinggal berbeda,14,3,5.785714285714286,6.333333333333333,0,0,0,0,0,0,0,0,0,0,hidup tinggal berbeda 0 0 0 0 0 0 0 0 0 0
TRA68,berwaspada,0,berwaspada,1,1,10.0,10.0,0,0,0,0,0,0,0,0,0,0,berwaspada 0 0 0 0 0 0 0 0 0 0 0 0
TRA69,membuat kembali lahan pertanian/ lahan pekerjaan yang sudah ditinggalkan di negara tersebut,1,lahan pertanian lahan pekerjaan ditinggalkan negara,12,6,6.666666666666667,7.666666666666667,0,0,0,0,0,0,0,0,0,0,lahan pertanian lahan pekerjaan ditinggalkan negara 0 0 0 0 0 0 0
TRA70,"mengungsi ke daerah lainya ,karena komunitas atau negara lainya terpaksa meninggalkan adanya bencana lingkungan",0,mengungsi daerah lainya komunitas negara lainya terpaksa meninggalkan bencana lingkungan,14,10,7.0,7.9,0,0,0,0,0,0,0,0,0,0,mengungsi daerah lainya komunitas negara lainya terpaksa meninggalkan bencana lingkungan 0 0 0
TRA71,"pengungsi iklim akan kehilangan harta benda meraka,lahan meraka dikarenakan jika mereka telah menetap disana dan sukses disana maka mereka akan bersusah payah merintis lagi dari nol.",1,pengungsi iklim kehilangan harta benda meraka lahan meraka menetap disana sukses disana bersusah payah merintis nol,26,16,6.038461538461538,6.25,0,0,0,0,0,0,0,0,0,0,pengungsi iklim kehilangan harta benda meraka lahan meraka menetap disana sukses disana bersusah
TRA72,menahan rasa suhu tubuh yang ada di iklim negara tersebut,1,menahan suhu tubuh iklim negara,10,5,4.8,5.4,0,0,0,0,0,0,0,0,0,0,menahan suhu tubuh iklim negara 0 0 0 0 0 0 0 0
TRA73,bersosialisasi dengan orang-orang baru dan beradaptasi dengan lingkungan sekitarnya yang baru,1,bersosialisasi orang orang beradaptasi lingkungan,11,5,7.545454545454546,9.0,0,0,0,0,1,1,0,0,0,0,bersosialisasi orang orang beradaptasi lingkungan 0 0 0 0 0 0 0 0
TRA74,Akan sulit unutk menyesuaikan diri dengan lingkungan,1,sulit unutk menyesuaikan lingkungan,7,4,6.571428571428571,8.0,0,0,0,0,0,0,0,0,0,1,sulit unutk menyesuaikan lingkungan 0 0 0 0 0 0 0 0 0
TRA75,tidak coccok dengan iklim yang akan ditempatinya,1,coccok iklim ditempatinya,7,3,6.0,7.666666666666667,0,0,0,0,0,0,0,0,0,0,coccok iklim ditempatinya 0 0 0 0 0 0 0 0 0 0
TRA76,Terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,1,terpaksa meninggalkan komunitas negaranya bencana lingkungan,8,6,8.25,9.166666666666666,0,0,0,0,0,0,0,0,0,0,terpaksa meninggalkan komunitas negaranya bencana lingkungan 0 0 0 0 0 0 0
TRA77,Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0,pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan,13,10,7.769230769230769,7.9,0,0,0,0,0,0,0,0,0,0,pengungsi iklim orang orang terpaksa meninggalkan komunitas negaranya bencana lingkungan 0 0 0
TRA78,Mereka akan rugi karena mereka akan meninggalkan lahan pertanian mereka yang sudah tumbuh subur.,0,rugi meninggalkan lahan pertanian tumbuh subur,14,6,5.928571428571429,6.833333333333333,0,0,0,0,0,0,0,0,0,0,rugi meninggalkan lahan pertanian tumbuh subur 0 0 0 0 0 0 0
TRA79,harus lebih waspada lagi tentang keadaan sekitar nya,0,waspada,8,1,5.625,7.0,0,0,0,0,0,0,0,0,0,0,waspada 0 0 0 0 0 0 0 0 0 0 0 0
TRA80,meninggalkan tempat baru yang telah di tempat i selama ini dan akan kehilangan semuanya.dan akan mengulang hidup baru dari lingkungan baru .,1,meninggalkan i kehilangan mengulang hidup lingkungan,22,6,5.409090909090909,7.833333333333333,0,0,0,0,0,0,0,0,0,0,meninggalkan i kehilangan mengulang hidup lingkungan 0 0 0 0 0 0 0
TRA81,Kehilangan matapencarian atau mungkin keluarga,1,kehilangan matapencarian keluarga,5,3,8.4,10.333333333333334,0,0,0,0,0,0,0,0,0,0,kehilangan matapencarian keluarga 0 0 0 0 0 0 0 0 0 0
TRA82,"Mereka akan bergaul dengan iklim yang baru,biasanya susah atau lama untuk beradaptasi dengan iklim baru",1,bergaul iklim susah beradaptasi iklim,15,5,5.933333333333334,6.6,0,0,0,0,0,1,0,0,0,0,bergaul iklim susah beradaptasi iklim 0 0 0 0 0 0 0 0
TRA83,satu tantangan yang akan dihadapi oleh para pengungsi iklim ketika pindah ketempat yang baru yaitu beradaptasi dengan lingkungannya yang baru.,1,tantangan dihadapi pengungsi iklim pindah ketempat beradaptasi lingkungannya,20,8,6.15,8.625,0,1,0,0,0,1,1,0,0,0,tantangan dihadapi pengungsi iklim pindah ketempat beradaptasi lingkungannya 0 0 0 0 0
TRA84,mereka akan kekuranngan lahan,1,kekuranngan lahan,4,2,6.5,8.0,0,0,0,0,0,0,0,0,0,0,kekuranngan lahan 0 0 0 0 0 0 0 0 0 0 0
TRA85,Tantangan yang akan dihadapi para pengungsi iklim ini adalah mereka harus bisa beradaptasi dengan lingkungan barunya yang mungkin jauh berbeda dari tempat tinggal mereka sebelumnya dan harus memulai dari awal untuk mencari lahan pekerjaan mereka.,1,tantangan dihadapi pengungsi iklim beradaptasi lingkungan barunya berbeda tinggal mencari lahan pekerjaan,35,12,6.057142857142857,7.833333333333333,0,1,0,0,0,1,0,0,1,0,tantangan dihadapi pengungsi iklim beradaptasi lingkungan barunya berbeda tinggal mencari lahan pekerjaan 0
TRA86,tantangan nya yaitu apabila mereka pidah ke tempat yang baru maka mereka akan tidak terbiasa dengan daerah yang mereka tempati.,1,tantangan pidah terbiasa daerah tempati,20,5,5.4,7.0,0,1,0,0,0,0,0,0,0,0,tantangan pidah terbiasa daerah tempati 0 0 0 0 0 0 0 0
TRA87,"yang pertama pasti cuacanya, yang perlu beradaptasi. dengan lingkungannya",1,cuacanya beradaptasi lingkungannya,9,3,7.222222222222222,10.666666666666666,0,0,0,0,0,1,0,0,0,0,cuacanya beradaptasi lingkungannya 0 0 0 0 0 0 0 0 0 0
TRA88,mereka mungkin kurang mendapatkan pekerjaan dan tempat tinggal yang layak bagi mereka,1,pekerjaan tinggal layak,12,3,6.166666666666667,7.0,0,0,0,0,0,0,0,0,0,0,pekerjaan tinggal layak 0 0 0 0 0 0 0 0 0 0
TRA89,tidak bisa menyesuaikan diri dengan tempat baru,1,menyesuaikan,7,1,5.857142857142857,12.0,0,0,0,0,0,0,0,0,0,0,menyesuaikan 0 0 0 0 0 0 0 0 0 0 0 0
TRA90,belajar,0,belajar,1,1,7.0,7.0,0,0,0,0,0,0,0,0,0,0,belajar 0 0 0 0 0 0 0 0 0 0 0 0
TRA91,mengenal orang oramg baru/asing yag akan beradaptasi dari awal,1,mengenal orang oramg asing yag beradaptasi,9,6,6.0,6.166666666666667,0,0,0,0,0,1,0,0,0,0,mengenal orang oramg asing yag beradaptasi 0 0 0 0 0 0 0
